DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2013-03-22T19:43:41.280+00:00,39.623,-120.003,7.2,0.7,ml,6,117,0.0,0.05,nn,nn00406762,1363981505148
2013-03-22T19:32:13.100+00:00,47.756,-123.183,41.3,3.2,Ml,,54,0.1,0.21,uw,uw60512021,1363982018432
2013-03-22T19:29:15.300+00:00,39.633,-120.012,7.9,1.0,ml,10,108,0.0,0.07,nn,nn00406759,1363980633236
2013-03-22T19:27:07.000+00:00,61.263,-148.438,26.0,1.5,Ml,,,,0.73,ak,ak10679390,1363980899453
2013-03-22T19:22:52.200+00:00,37.327,-122.104,0.8,1.4,Md,,115,0.0,0.08,nc,nc71958565,1363980271040
2013-03-22T19:20:39.985+00:00,36.819,-115.873,10.3,1.0,ml,12,253,0.1,0.15,nn,nn00406758,1363981774123
2013-03-22T19:16:35.830+00:00,39.213,-119.617,12.0,1.6,ml,6,175,0.5,0.18,nn,nn00406757,1363979881398
2013-03-22T19:10:53.500+00:00,33.985,-118.754,48.5,2.4,Ml,,158,0.2,0.20,ci,ci15312265,1363979709753
2013-03-22T19:10:51.800+00:00,34.249,-118.919,3.0,2.4,Ml,,104,0.2,0.66,ci,ci15312257,1363980130331
